old,new
ADDITIVE,ADDITIVES
AGRICULT,AGRI_FOREST
ANTCOAL,ANTHRACITE
AUTOCHP,AUTOCHP
AUTOELEC,AUTOELEC
AUTOHEAT,AUTOHEAT
AVGAS,AVIATION_GASOLINE
BIODIESEL,BIODIESEL
RENEWNS,BIOFUEL_NONSPEC
BIOGASES,BIOGASES
BIOGASOL,BIOGASOLINE
BITUMEN,BITUMEN
BKB,BKB
BLFURGS,BLAST_FURNACE_GAS
BROWN,BROWNCOAL_ND
AVBUNK,BUNKERS_AVIATION
MARBUNK,BUNKERS_MARINE
CHARCOAL,CHARCOAL
CHEMICAL,CHEMICAL
COALTAR,COAL_TAR
OVENCOKE,COKE_OVEN_COKE_OTH
COKEOVGS,COKE_OVEN_GAS
COKCOAL,COKING_COAL
COMMPUB,COMMPUB
CONSTRUC,CONSTRUC
CRUDEOIL,CRUDE_OIL
DISTLOSS,DISTLOSS
DOMESAIR,DOMESAIR
DOMESNAV,DOMESNAV
EBIOGAS,EBIOGAS
EBKB,EBKB
EBLASTFUR,EBLASTFUR
ECHARCOAL,ECHARCOAL
ECOALLIQ,ECOALLIQ
ECOKEOVS,ECOKEOVS
EGASWKS,EGASWKS
EGTL,EGTL
ELAUTOC,ELAUTOC
ELAUTOE,ELAUTOE
ELECTR,ELECTRICITY
ELMAINC,ELMAINC
ELMAINE,ELMAINE
ELNG,ELNG
ELOUTPUT,ELOUTPUT
EMINES,EMINES
ENONSPEC,ENONSPEC
ENUC,ENUC
EOILGASEX,EOILGASEX
EPATFUEL,EPATFUEL
EPOWERPLT,EPOWERPLT
EPUMPST,EPUMPST
EREFINER,EREFINER
ETHANE,ETHANE
EXPORTS,EXPORTS
FISHING,FISHING
FOODPRO,FOODPRO
RESFUEL,FUEL_OIL_RESIDUAL
GASCOKE,GAS_COKE
NONBIODIES,GAS_DIESEL_OIL_NONBIO
JETGAS,GASOLINE_JET
GASWKSGS,GASWORKS_GAS
GEOTHERM,GEOTHERMAL
HARDCOAL,HARDCOAL_ND
HEAT,HEAT
HEATNS,HEAT_COMBUSTIBLES_NS
HEATOUT,HEATOUT
HEAUTOC,HEAUTOC
HEAUTOH,HEAUTOH
HEMAINC,HEMAINC
HEMAINH,HEMAINH
HYDRO,HYDRO
NONCRUDE,HYDROCARBONS_OTHER
IMPORTS,IMPORTS
INDPROD,INDPROD
INONSPEC,INONSPEC
IRONSTL,IRONSTL
BIOJETKERO,KEROSENE_JET_BIO
NONBIOJETK,KEROSENE_JET_NONBIO
OTHKERO,KEROSENE_OTHER
LIGNITE,LIGNITE
OBIOLIQ,LIQBIOFUEL_OTHER
LPG,LPG
LUBRIC,LUBRICANTS
MACHINE,MACHINE
MAINCHP,MAINCHP
MAINELEC,MAINELEC
MAINHEAT,MAINHEAT
MANUFACT,MANUFACT
MANGAS,MANUFACTURED_GAS_OUTPUT
MINING,MINING
NONBIOGASO,MOTOR_GASOLINE_NONBIO
NAPHTHA,NAPHTHA
NATGAS,NATURAL_GAS
NECHEM,NE_CHEM
NECONSTRUC,NE_CONSTRUC
NEFOODPRO,NE_FOODPRO
NEIND,NE_IND
NEINTREN,NE_IND_TRANSF
NEINONSPEC,NE_INONSPEC
NEIRONSTL,NE_IRONSTL
NEMACHINE,NE_MACHINE
NEMINING,NE_MINING
NENONFERR,NE_NONFERR
NENONMET,NE_NONMET
NEOTHER,NE_OTHER
NEPAPERPRO,NE_PAPERPRO
NETEXTILES,NE_TEXTILES
NONENUSE,NE_TOT
NETRANS,NE_TRANS
NETRANSEQ,NE_TRANSEQ
NEWOODPRO,NE_WOODPRO
NGL,NGL
NONFERR,NONFERR
NONMET,NONMET
NUCLEAR,NUCLEAR
CRNGFEED,OIL_PRIM_PRODUCTS_ND
OILSHALE,OIL_SHALE
ONONSPEC,ONONSPEC
BITCOAL,OTH_BITCOAL
OTHER,OTH_ENSOURC
OGASES,OTH_RECOVGASES
ONONSPEC,OTH_SEC_OIL_PRODS_ND
PAPERPRO,PAPERPRO
PARWAX,PARAFFIN_WAXES
PATFUEL,PATENT_FUEL
PEAT,PEAT
PEATPROD,PEAT_PRODUCTS
PETCOKE,PETROLEUM_COKE
PIPELINE,PIPELINE
PRIMSBIO,PRIMARY_SOLID_BIOFUEL
RAIL,RAIL
REFFEEDS,REFINERY_FEEDSTOCKS
REFINGAS,REFINERY_GAS
MRENEW,RENEWABLES_TOTAL
RESIDENT,RESIDENT
ROAD,ROAD
SOLARPV,SOLAR_PV
SOLARTH,SOLAR_THERMAL
STATDIFF,STATDIFF
STOCKCHA,STCHANAT
SUBCOAL,SUB_BITCOAL
TBKB,TBKB
TBLASTFUR,TBLASTFUR
TBLENDGAS,TBLENDGAS
TBOILER,TBOILER
TCHARCOAL,TCHARCOAL
TCOALLIQ,TCOALLIQ
TCOKEOVS,TCOKEOVS
TELE,TELE
TES,TES
TEXTILES,TEXTILES
TFC,TFC
TGASWKS,TGASWKS
TGTL,TGTL
THEAT,THEAT
TIDE,TIDAL_WAVE_OCEAN
TNONSPEC,TNONSPEC
TOTAL,TOTAL
TOTENGY,TOTENGY
TOTIND,TOTIND
TOTTRANF,TOTTRANF
TOTTRANS,TOTTRANS
TPATFUEL,TPATFUEL
TPETCHEM,TPETCHEM
TRANSEQ,TRANSEQ
TRANSFER,TRANSFERS
TREFINER,TREFINER
TRNONSPE,TRNONSPE
INDWASTE,WASTE_INDUSTRIAL_NONREN
MUNWASTEN,WASTE_MUNICIPAL_NONREN
MUNWASTER,WASTE_MUNICIPAL_REN
WHITESP,WHITE_SPIRIT
WIND,WIND
WOODPRO,WOODPRO
WORLDAV,WORLDAV
WORLDMAR,WORLDMAR
