old,new
AFRICA,NON_OECDAFR
ALBANIA,ALBANIA
ALGERIA,ALGERIA
ANGOLA,ANGOLA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ASIA,NON_OECDAO_X_CHINA
AUSTRALI,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BELARUS,BELARUS
BELGIUM,BELGIUM
BENIN,BENIN
BOLIVIA,BOLIVIA
BOSNIAHERZ,BOSNIAHERZ
BOTSWANA,BOTSWANA
BRAZIL,BRAZIL
BRUNEI,BRUNEI
BULGARIA,BULGARIA
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CHILE,CHILE
CHINA,CHINA
CHINAREG,CHINAREG
COLOMBIA,COLOMBIA
CONGO,CONGO_REPUB
CONGOREP,CONGO_DRC
COSTARICA,COSTARICA
COTEIVOIRE,COTEIVOIRE
CROATIA,CROATIA
CUBA,CUBA
CURACAO,CURACAO
CYPRUS,CYPRUS
CZECH,CZECH
DENMARK,DENMARK
DOMINICANR,DOMINICANREP
ECUADOR,ECUADOR
EGYPT,EGYPT
ELSALVADOR,ELSALVADOR
EQGUINEA,EQGUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ESWATINI,ESWATINI
ETHIOPIA,ETHIOPIA
EU27_2020,EU27
EU28,EU28
EURASIA,NON_OECDEURAS
FINLAND,FINLAND
FRANCE,FRANCE
FSUND,F_USSR
GABON,GABON
GEORGIA,GEORGIA
GERMANY,GERMANY
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREECE,GREECE
GUATEMALA,GUATEMALA
GUYANA,GUYANA
HAITI,HAITI
HONDURAS,HONDURAS
HONGKONG,HONGKONG
HUNGARY,HUNGARY
ICELAND,ICELAND
IEAFAMILY,IEAFAMILY
IEATOT,IEATOT
INDIA,INDIA
INDONESIA,INDONESIA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ISRAEL,ISRAEL
ITALY,ITALY
JAMAICA,JAMAICA
JAPAN,JAPAN
JORDAN,JORDAN
KAZAKHSTAN,KAZAKHSTAN
KENYA,KENYA
KOREA,KOREA
KOREADPR,KOREADPR
KOSOVO,KOSOVO
KUWAIT,KUWAIT
KYRGYZSTAN,KYRGYZSTAN
LAO,LAO
LATAMER,NON_OECDAM
LATVIA,LATVIA
LEBANON,LEBANON
LIBYA,LIBYA
LITHUANIA,LITHUANIA
LUXEMBOU,LUXEMBOURG
MADAGASCAR,MADAGASCAR
MALAYSIA,MALAYSIA
MALTA,MALTA
MASEAN,ASEAN
MAURITIUS,MAURITIUS
MBURKINAFA,BURKINAFASO
MCHAD,CHAD
MEXICO,MEXICO
MFSU15,F_USSR_TOTAL
MG20,G20
MG7,G7
MG8,G8
MGREENLAND,GREENLAND
MIDEAST,NON_OECDME
MMALI,MALI
MMAURITANI,MAURITANIA
MOLDOVA,MOLDOVA
MONGOLIA,MONGOLIA
MONTENEGRO,MONTENEGRO
MOROCCO,MOROCCO
MOZAMBIQUE,MOZAMBIQUE
MPALESTINE,PALESTINE
MYANMAR,MYANMAR
MYUGO,F_YUGO_TOTAL
NAMIBIA,NAMIBIA
NEPAL,NEPAL
NETHLAND,NETHERLANDS
NICARAGUA,NICARAGUA
NIGER,NIGER
NIGERIA,NIGERIA
NOECDTOT,NON_OECDTOT
NORTHMACED,NORTHMACED
NORWAY,NORWAY
NZ,NEWZEALAND
OECDAM,OECDAM
OECDAO,OECDAO
OECDEUR,OECDEUR
OECDTOT,OECDTOT
OMAN,OMAN
OPEC,OPEC
OTHERAFRIC,OTH_NON_OECDAFR
OTHERASIA,OTH_NON_OECDAO
OTHERLATIN,OTH_NON_OECDAM
PAKISTAN,PAKISTAN
PANAMA,PANAMA
PARAGUAY,PARAGUAY
PERU,PERU
PHILIPPINE,PHILIPPINES
POLAND,POLAND
PORTUGAL,PORTUGAL
QATAR,QATAR
ROMANIA,ROMANIA
RUSSIA,RUSSIA
RWANDA,RWANDA
SAUDIARABI,SAUDIARABIA
SENEGAL,SENEGAL
SERBIA,SERBIA
SINGAPORE,SINGAPORE
SLOVAKIA,SLOVAKIA
SLOVENIA,SLOVENIA
SOUTHAFRIC,SOUTHAFRICA
SPAIN,SPAIN
SRILANKA,SRILANKA
SSUDAN,SSUDAN
SUDAN,SUDAN
SURINAME,SURINAME
SWEDEN,SWEDEN
SWITLAND,SWITZERLAND
SYRIA,SYRIA
TAIPEI,TAIPEI
TAJIKISTAN,TAJIKISTAN
TANZANIA,TANZANIA
THAILAND,THAILAND
TOGO,TOGO
TRINIDAD,TRINIDAD
TUNISIA,TUNISIA
TURKEY,TURKIYE
TURKMENIST,TURKMENISTAN
UAE,UAE
UGANDA,UGANDA
UK,UK
UKRAINE,UKRAINE
UNAFRICA,AFRICA_UN
UNAMERICAS,AMERICAS_UN
UNASIATOT,ASIA_UN
UNEUROPE,EUROPE_UN
UNOCEANIA,OCEANIA_UN
URUGUAY,URUGUAY
USA,USA
UZBEKISTAN,UZBEKISTAN
VENEZUELA,VENEZUELA
VIETNAM,VIETNAM
WORLD,WORLD
WORLDAV,WORLDAV
WORLDMAR,WORLDMAR
YEMEN,YEMEN
YUGOND,F_YUGOSLAVIA
ZAMBIA,ZAMBIA
ZIMBABWE,ZIMBABWE
